sample_index,task_id,sample_role,gt_category,gt_rule_id,gt_function,objective_score,parent_exposure_signal,upstream_protection_signal,directional_gain,patch_sha256,glm_ok,glm_attempt,glm_wall_seconds,glm_error,prompt_tokens,completion_tokens,total_tokens,parsable_json,non_vacuous,target_aligned,condition_aligned,protection_aligned,uses_patch_specific_evidence,api_overlap,vuln_overlap,fixed_overlap,glm_candidate_gate,objective_signals,qgdca_qualified,oracle_validated,glm_only_false_candidate,qgdca_false_admission,parsed_oracle_kind,parsed_vacuity_risk,parsed_predicate,parsed_target_terms,parsed_vulnerable_terms,parsed_fixed_terms
10,CVE-2022-34170,objective_negative,XSS (Cross-Site Scripting),"com.gargoylesoftware.htmlunit.html.HtmlPage.executeJavaScript:com.gargoylesoftware.htmlunit.ScriptResult(java.lang.String,java.lang.String,int)",executeJavaScript,12.25,False,True,True,c2a18b22a31c8e29d9a26e6bf113bc7b9bd8985aed885719c8d9e607189c1b64,True,1,67.46,,708,2006,2714,True,True,False,True,True,True,0,2,3,False,False,False,False,False,False,security_rule,low,"In helpLink.jelly, the value assigned to the variable altText must apply h.escape to attrs.featureName to prevent XSS.",alttext;attrs;attrs.featurename;escape;featurename;h.escape;set,concatenation;unescaped;xss,encoding;entity;escape;h.escape;html;sanitized
11,CVE-2022-37423,objective_negative,Path Travelsal,"java.io.File.<init>:void(java.io.File,java.lang.String)",<init>,12.25,True,True,False,7ff231cb9244cd744b1606fde26f80b15f5cfb6f3863315998f1d25f570a127b,True,1,57.38,,394,2032,2426,True,True,True,True,True,True,2,5,5,True,False,False,False,True,False,security_rule,low,Path traversal validation must use java.nio.file.Path.startsWith instead of String.startsWith on canonical paths to ensure robust boundary checking.,canonical;file;init;path;startswith,canonicalpath;comparison;startswith;string,canonicalfile;object;path;startswith;topath
12,CVE-2022-45208,objective_negative,SQL Injection,org.jeecg.modules.system.mapper.SysUserMapper.deleteLogicDeleted:int(java.lang.String),deleteLogicDeleted,13.25,True,False,False,c59318736176f388b4be7f723de96ac61f9bf5bfc4f3ddde564e26586e66b139,True,1,43.89,,750,1645,2395,True,True,True,False,True,True,5,0,1,True,False,False,False,True,False,static_predicate,low,"The SQL query for deleteLogicDeleted in the mapper XML must use parameterized placeholders (e.g., #{}) instead of string interpolation (e.g., ${}) for all input arguments.",delete;deleted;deletelogicdeleted;logic;sysusermapper,injection;interpolation;parameter;sql;string;unsafe,binding;parameterized;prepared;query;safe;statement
13,CVE-2023-0871,objective_negative,XXE (Improper Restriction of XML External Entity Reference),"javax.xml.bind.Unmarshaller.unmarshal:javax.xml.bind.JAXBElement(org.w3c.dom.Node,java.lang.Class)",unmarshal,12.25,True,True,False,2d4ce4e3752ffdee18de7aed33e66e972f62012c91f297950d68734d5b622666,True,1,57.65,,398,1961,2359,True,True,True,True,True,True,6,6,4,True,False,False,False,True,False,security_rule,medium,The Unmarshaller must be configured to disable Document Type Definitions (DTDs) and external entity resolution when unmarshalling a Node to prevent XXE attacks.,bind;javax;javax.xml.bind.unmarshaller;jaxbelement;node;unmarshal;unmarshaller;xml,doctype;entity;external;node;unmarshal;xxe,block;disable;dtd;entities;external;processing;secure;xmlfilter
14,CVE-2023-33202,objective_negative,Resource Exhaustion (Denial of Service),org.bouncycastle.asn1.ASN1Set.toDERObject:org.bouncycastle.asn1.ASN1Primitive(),toDERObject,10.5,True,False,False,682e52943dd25687d9deacc7ef73f02460e27bffd9ea16a7a534f6ae2187175b,True,1,103.59,,881,3825,4706,True,True,True,True,False,True,4,1,0,False,False,False,False,False,False,static_predicate,low,"The `toDERObject` method must check the `sortedElements` field to ensure that the sorting operation is performed only once and cached, preventing repeated expensive sorting that leads to resource exhaustion.",asn1;asn1set;bouncycastle;org;org.bouncycastle.asn1.asn1set;sortedelements;toderobject,encode;exhaustion;issorted;resource;sort,cache;null;sortedelements;toderobject
15,CVE-2023-34602,objective_negative,SQL Injection,org.jeecg.common.util.security.AbstractQueryBlackListHandler.getQueryTableInfo:java.util.List(java.lang.String),getQueryTableInfo,12.25,True,False,False,3ec0ffe5a9832f7301b49452285ed806b8c3665c422580112f95488a2c83ac7f,True,1,53.63,,465,1863,2328,True,True,True,True,True,True,10,2,1,True,False,False,False,True,False,security_rule,low,The `isPass` method must invoke `checkTableAndFieldsName` on the list of parsed tables to validate table and field names against security constraints.,abstract;black;common;handler;info;jeecg;list;query;security;table,abstract;injection;sql;table,checktableandfieldsname;list;validation
16,CVE-2023-39410,objective_negative,Deserialization of Untrusted Data,"org.apache.avro.io.DirectBinaryDecoder$ByteReader.read:java.nio.ByteBuffer(java.nio.ByteBuffer,long)",read,13.25,True,False,False,ec290859555c9e5482b9850723cd4f7426f5a6d630a58f5a99f9d8707da3433c,True,1,42.93,,827,1426,2253,True,True,True,True,False,True,5,2,0,False,False,False,False,False,False,static_predicate,low,The size parameter for byte buffer allocation during deserialization must be validated against a maximum length limit to prevent resource exhaustion.,apache;avro;buffer;byte;deserialize;limit;read;size,allocation;deserialize;malformed;oom;size;unbounded,checkmaxbyteslength;limit;maxlength;systemlimitexception;validate
17,CVE-2023-49299,objective_negative,Improper Input Validation (Expression Injection),org.apache.dolphinscheduler.server.master.utils.SwitchTaskUtils.evaluate:boolean(java.lang.String),evaluate,12.25,True,False,False,74f7617cee336fd8755a5fcdffecf7844e828647cc21649952eca06249b61da6,True,1,33.7,,756,1305,2061,True,True,True,True,True,True,1,1,1,True,False,False,False,True,False,static_predicate,low,"The evaluate method must validate that globalParams and varParams are not empty and that the condition is valid, throwing an IllegalArgumentException if these checks fail.",condition;evaluate;expression;scriptengine;switchtaskutils,empty;expression;injection;missing;null;parameters;property;validation,check;condition;illegalargumentexception;parameter;validation;validity
18,CVE-2024-1300,objective_negative,Resource Exhaustion (Denial of Service),"io.vertx.core.net.impl.SslChannelProvider.sslContext:io.netty.handler.ssl.SslContext(java.lang.String,boolean,boolean,boolean)",sslContext,10.5,True,False,False,6cf0016e97521502912d39d3d598d786a68bb86f02038d53f66cd1e52dfe844c,True,1,39.07,,909,1655,2564,True,True,True,False,False,True,1,0,0,False,False,False,False,False,False,static_predicate,medium,The sslClientContext method must verify that serverName is not null before invoking createContext to prevent resource exhaustion.,createcontext;servername;sslchannelprovider;sslcontext,createcontext;null;servername,null;res;servername
19,CVE-2025-25193,objective_negative,Resource Exhaustion (Denial of Service),io.netty.handler.stream.ChunkedStream.readChunk:io.netty.buffer.ByteBuf(io.netty.buffer.ByteBufAllocator),readChunk,12.25,True,False,False,6940cb6fef754cf9ad3949544838f100c0164d2c7cc8e01dc34737fbe2fc6d88,True,1,109.85,,569,4193,4762,True,True,True,False,False,True,3,0,0,False,False,False,False,False,False,static_predicate,low,The BoundedInputStream must enforce the maximum byte limit by invoking checkMaxBytesRead() during read operations to prevent unbounded resource consumption.,boundedinputstream;checkmaxbytesread;read;stream,checkmaxbytesread;read;removed;unbounded,bounded;checkmaxbytesread;limit;present
20,APACHE-COMMONS-001,objective_positive,Path Travelsal,"java.nio.file.Files.newInputStream:java.io.InputStream(java.nio.file.Path,java.nio.file.OpenOption[])",newInputStream,10.75,True,True,True,5700af117bdf334df82842119c32f2e2055a57acad9698e8ac0287affca02625,True,1,61.02,,674,1861,2535,True,True,True,True,True,True,2,5,4,True,True,True,True,False,False,security_rule,low,Path traversal validation must append a file separator to the canonical path of the target directory before performing a prefix check to prevent bypass via sibling directories with similar names.,file;file.separatorchar;getcanonicalpath;path;separatorchar,canonical;prefix;sibling;traversal,canonical;prefix;separator;strict
21,CVE-2018-1190,objective_positive,XSS (Cross-Site Scripting),"org.springframework.ui.Model.addAttribute:org.springframework.ui.Model(java.lang.String,java.lang.Object)",addAttribute,12.25,True,True,True,27dc652d7df0d1db403dd097b69c057b1936e9c1bc743e88d15bcdcddc179d82,True,1,50.67,,665,1567,2232,True,True,True,True,True,True,3,2,3,True,True,True,True,False,False,static_predicate,medium,Arguments passed to `org.springframework.ui.Model.addAttribute` must be HTML-escaped if they originate from untrusted sources.,addattribute;model;springframework,clientid;messageorigin;raw;unescaped;untrusted,encode;escape;sanitized
22,CVE-2018-12432,objective_positive,XSS (Cross-Site Scripting),net.bull.javamelody.HtmlCoreReport.writeln:void(java.lang.String),writeln,12.75,True,True,True,cd522d90745a8f9aed475d4ddbfb3c3c10250b2facdced05cc2b82fc2eb3973e,True,1,62.74,,413,2051,2464,True,True,True,True,True,True,3,3,2,True,True,True,True,False,False,security_rule,medium,User input passed to the HTML report output stream must be sanitized using htmlEncodeButNotSpace in addition to javascriptEncode to prevent XSS.,htmlencodebutnotspace;javascriptencode;writedirectly;writeln,alert;javascriptencode;writedirectly,alert;htmlencodebutnotspace;javascriptencode;writedirectly
23,CVE-2018-1309,objective_positive,XXE (Improper Restriction of XML External Entity Reference),"org.apache.nifi.xml.processing.sax.StandardInputSourceParser.parse:void(org.xml.sax.InputSource,org.xml.sax.ContentHandler)",parse,13.25,True,True,True,67c9bb81e96ac4ea95a50f8e7875ed8737c501c9b76a08663661d05de0e1cf99,True,1,41.98,,872,1371,2243,True,True,True,True,True,True,2,5,3,True,True,True,True,False,False,static_predicate,low,The SAXParserFactory must have the feature 'http://apache.org/xml/features/disallow-doctype-decl' set to true before creating an XMLReader to prevent XXE vulnerabilities.,parse;saxparserfactory;setfeature;xmlreader,allow;dtd;entity;external;saxparserfactory;xxe,decl;disallow;disallow-doctype-decl;doctype;parsing;secure;true
24,CVE-2018-18240,objective_positive,Deserialization of Untrusted Data,java.io.ObjectInputStream.readObject:java.lang.Object(),readObject,10.25,True,True,True,d1645c84d80e8842d6023f0353da27182ff440b2d8340ebd1eb6f4675eb9c188,True,1,40.99,,652,1452,2104,True,True,True,True,True,True,1,3,2,True,True,True,True,False,False,static_predicate,low,Deserialization of untrusted data must be performed using a whitelist mechanism to validate class names before resolving them.,deserialize;java;java.io.objectinputstream;objectinputstream;readobject,deserialize;read;stream;unrestricted,allowlist;invalidclassexception;iswhitelisted;reject;whitelistobjectinputstream
25,CVE-2018-19859,objective_positive,Path Travelsal,"java.io.File.<init>:void(java.io.File,java.lang.String)",<init>,13.25,True,True,True,e1e3145ebd0b1003cc19e393b8c6e566b99e4f4a686da66ba483216619df5c72,True,1,37.13,,512,1433,1945,True,True,True,True,True,True,1,5,6,True,True,True,True,False,False,assertion,low,The normalized path of the allocated file must start with the normalized path of the intended base directory.,file;normalize;path;startswith,directory;escape;path;traversal,normalize;startswith;validation
26,CVE-2019-10770,objective_positive,XSS (Cross-Site Scripting),ratpack.error.internal.ErrorPageRenderer$BodyWriter.print:ratpack.error.internal.ErrorPageRenderer$BodyWriter(java.lang.String),print,13.25,True,True,True,2071bdd957f6bc84d3ed60b7775bc0f53668c082d235bf32ff610065e002bcd5,True,1,47.83,,646,1481,2127,True,True,True,True,True,True,1,3,2,True,True,True,True,False,False,security_rule,low,The BodyWriter must HTML-escape string arguments derived from Throwables before writing them to the output stream.,bodywriter;errorpagerenderer;escapeln;print,print;throwable;tostring;unescaped,escape;escapeln;escaper;html;html_escaper;htmlescapers
27,CVE-2019-3772,objective_positive,XXE (Improper Restriction of XML External Entity Reference),"javax.xml.transform.Transformer.transform:void(javax.xml.transform.Source,javax.xml.transform.Result)",transform,10.25,True,True,True,169d460e776d542bf0c67baff7e4a92e284de444c9d321ad9dd1dd70928357bf,True,1,61.96,,853,2283,3136,True,True,True,True,True,True,5,6,4,True,True,True,True,False,False,security_rule,medium,The DocumentBuilderFactory used by the XML transformer must not be null and must be configured to disable external entity resolution and DOCTYPE declarations.,javax;result;source;transform;transformer,doctype;entity;external;xml;xxe,disable;documentbuilderfactory;not;null
28,CVE-2020-11995,objective_positive,Deserialization of Untrusted Data,"org.apache.dubbo.common.serialize.fastjson.FastJsonObjectInput.readObject:java.lang.Object(java.lang.Class,java.lang.reflect.Type)",readObject,11.25,True,True,True,7123cf93d88b06b5a1709c86fa2c90d39a1efc56ab9b0ecaf30df5e3aaca5776,True,1,39.79,,896,1637,2533,True,True,True,True,True,True,5,4,4,True,True,True,True,False,False,security_rule,medium,The FastJsonObjectInput.readObject method must validate the deserialized class type against an allowlist before instantiation.,apache;deserialize;dubbo;fastjson;readobject,class;deserialize;input;type;untrusted,allowlist;check;reject;safe;validate
29,CVE-2020-13940,objective_positive,XXE (Improper Restriction of XML External Entity Reference),"org.apache.nifi.controller.serialization.FlowSerializer.transform:java.lang.Object(org.apache.nifi.controller.FlowController,org.apache.nifi.controller.serialization.ScheduledStateLookup)",transform,13.25,True,True,True,92dffc5c557e6d199c263de4a9d8575772646a33e48af8e00673e2bf06f75a12,True,1,50.05,,819,2265,3084,True,True,True,True,True,True,2,3,3,True,True,True,True,False,False,security_rule,low,DocumentBuilderFactory must be configured with 'http://apache.org/xml/features/disallow-doctype-decl' set to true and 'http://xml.org/sax/features/external-general-entities' set to false.,documentbuilder;documentbuilderfactory;transform;xml,doctype;dtd;entities;external;external-general-entities;external-parameter-entities;general;load;load-external-dtd;parameter,decl;disallow;disallow-doctype-decl;doctype;dtd;entities;external;external-general-entities;external-parameter-entities;general;load;parameter
30,CVE-2021-21608,objective_positive,XSS (Cross-Site Scripting),com.gargoylesoftware.htmlunit.html.HtmlPage.executeJavaScript:com.gargoylesoftware.htmlunit.ScriptResult(java.lang.String),executeJavaScript,12.25,True,True,True,8a745985668138379ff0ca733941a5afab96d6a28747d55c5ef2d7c5cec52c25,True,1,67.03,,855,2229,3084,True,True,True,True,True,True,2,2,1,True,True,True,True,False,False,assertion,low,"User-supplied input rendered in the UI must be HTML-escaped, ensuring that the innerHTML retrieved via executeJavaScript does not contain unescaped tags or event handlers.",escapehtml;executejavascript;innerhtml,html;onclick;raw;script;unescaped,escapehtml;nullvalue;sanitized
31,CVE-2021-4178,objective_positive,Deserialization of Untrusted Data,org.yaml.snakeyaml.Yaml.load:java.lang.Object(java.io.InputStream),load,12.25,True,True,True,360c18ed458722c8d1b6b7878a87746cf46f255d102a17e4a1c61f802e6dc8a2,True,1,35.47,,390,1168,1558,True,True,True,True,True,True,2,2,1,True,True,True,True,False,False,static_predicate,low,Instantiation of org.yaml.snakeyaml.Yaml must provide a SafeConstructor argument to prevent unsafe deserialization.,org;org.yaml.snakeyaml.yaml;safeconstructor;snakeyaml;yaml,constructor;default;deserialization;new;unsafe;yaml,deserialization;new;safe;safeconstructor;yaml
32,CVE-2022-1274,objective_positive,XSS (Cross-Site Scripting),"org.keycloak.forms.login.LoginFormsProvider.setAttribute:org.keycloak.forms.login.LoginFormsProvider(java.lang.String,java.lang.Object)",setAttribute,12.25,True,True,True,48d24ef3845298f6174ab9154ff2031e87479d5f06d22b7527366c136942d4be,True,1,80.42,,712,3486,4198,True,True,True,True,True,True,1,3,1,True,True,True,True,False,False,security_rule,low,The application must validate required actions provided in the token using RequiredActionsValidator before they are set as attributes to prevent XSS.,executeactionsactiontokenhandler;loginformsprovider;requiredactions;requiredactionsvalidator;setattribute,attribute;script;unvalidated;xss,requiredactionsvalidator;validate;verifyrequiredactions;whitelist
33,CVE-2022-29253,objective_positive,Path Travelsal,java.lang.ClassLoader.getResource:java.net.URL(java.lang.String),getResource,12.25,True,True,True,c38260013fe782df829abd9eb43caae923f96c2cc2ed4b4288cf14113a994f09,True,1,41.84,,733,1457,2190,True,True,True,True,True,True,4,6,6,True,True,True,True,False,False,security_rule,low,The application must normalize the constructed resource path and verify that it starts with the intended base directory before loading the resource via ClassLoader.,class;getresource;loader;resource,directory;escape;normalize;path;traversal,normalize;path;prefixpath;startswith;verify
34,CVE-2022-31192,objective_positive,XSS (Cross-Site Scripting),"org.dspace.app.webui.util.JSPManager.showJSP:void(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)",showJSP,13.25,True,True,True,0c616c22ac8a6ad08e2bc8d6db62865df54cb221d0b9445a6858c93f1d56734b,True,1,44.93,,786,1590,2376,True,True,True,True,False,True,6,2,0,False,True,False,True,False,False,static_predicate,low,User input retrieved via HttpServletRequest.getParameter must be sanitized using StringEscapeUtils.escapeHtml4 before being used in the application logic or rendered to the response.,escapehtml4;getparameter;http;httpservletrequest;javax;jspmanager;jspmanager.showjsp;request;request.getparameter;showjsp;stringescapeutils;stringescapeutils.escapehtml4,coment;email;getparameter;reqname;request;request.getparameter,escapehtml4;stringescapeutils;stringescapeutils.escapehtml4
35,CVE-2023-22832,objective_positive,XXE (Improper Restriction of XML External Entity Reference),org.apache.nifi.xml.processing.parsers.StandardDocumentProvider.parse:org.w3c.dom.Document(java.io.InputStream),parse,11.25,True,True,True,b7f8e569595b7fcd65c55d86dca9b7bfd9c7f6a521249e1399a8b0625efcef46,True,1,75.1,,956,2226,3182,True,True,True,True,True,True,3,5,4,True,True,True,True,False,False,security_rule,low,The XML parser must reject input containing a DOCTYPE declaration with an external entity SYSTEM reference.,document;inputstream;loaddocument;parse;standarddocumentprovider,doctype;entity;external;system;xml;xxe,disable;reject;secure;standarddocumentprovider;validation
36,CVE-2024-22399,objective_positive,Deserialization of Untrusted Data,io.seata.core.serializer.Serializer.deserialize:java.lang.Object(byte[]),deserialize,10.25,True,True,True,50c295e0be2459c99e23b084236e0c73ebf2cae9a9ad099151c2efe072e1e88c,True,1,44.92,,594,1645,2239,True,True,True,True,True,True,5,5,4,True,True,True,True,False,False,security_rule,medium,The server must perform a validation check on the input byte array before invoking the deserialization method.,byte;core;deserialize;seata;serializer,byte;deserialize;pickle;serialization;serializer,reject;safe;signature;validation
37,CVE-2024-23642,objective_positive,XSS (Cross-Site Scripting),org.geoserver.wms.svg.SVGWriter.write:void(java.lang.String),write,10.75,True,True,True,585332d5cb420b031520543ee648ba2a9b3d2368d9320184b25bcf63984378ea,True,1,44.13,,835,1600,2435,True,True,True,True,True,True,3,1,1,True,True,True,True,False,False,security_rule,low,User-controlled identifiers such as groupId and styleName must be sanitized using escapeXml10 before being written to the SVG output stream to prevent XSS.,geoserver;streamingsvgmap;svgwriter;write,groupid;raw;stylename;unescaped;xss,escaped;escapexml10;sanitized
38,CVE-2024-28213,objective_positive,Deserialization of Untrusted Data,java.io.ObjectInputStream.readObject:java.lang.Object(),readObject,12.25,True,True,True,1d17b65711fade5d86cb88d059c08c343e036d8e580f76589fa8526f59b19721,True,1,36.61,,698,1613,2311,True,True,True,False,True,True,1,0,2,True,True,True,True,False,False,security_rule,low,The ObjectInputFilter must reject deserialization of any class whose canonical name does not start with 'net.grinder.engine' or 'net.grinder.common'.,inputstream;objectinputfilter;objectinputstream;readobject,arbitrary;class;deserialization;filter;loading;missing;unrestricted,allowlist;check;package;prefix;reject
39,CVE-2025-31129,objective_positive,Deserialization of Untrusted Data,java.io.ObjectInput.readObject:java.lang.Object(),readObject,10.25,True,True,True,59606a1fb52a94f6751031321724cb69e4cc8ee0fc54fbf702ba197911b1e1e9,True,1,46.77,,860,1478,2338,True,True,True,False,True,True,1,0,3,True,True,True,True,False,False,security_rule,medium,Ensure that data passed to deserialization routines or session storage mechanisms is validated against an allowlist or originates from a trusted internal source to prevent deserialization of untrusted data.,deserialize;readobject;session,arbitrary;arbitrary_object;encoded;encoded_values;input;object;untrusted;untrusted_input;values,allowlist;deserialization;safe;safe_deserialization;validation
