case_id,case_kind,patch_task_id,metadata_task_id,gt_category,expected_admissible,objective_reason,provenance_consistent,metadata_oracle_validated,objective_positive_after_provenance,deepseek_ok,deepseek_attempt,deepseek_wall_seconds,deepseek_error,deepseek_prompt_tokens,deepseek_completion_tokens,deepseek_total_tokens,deepseek_cost_usd,parsed_ok,non_vacuous,uses_patch_specific_evidence,target_overlap,protection_overlap,candidate_gate,security_predicate,oracle_kind,vacuity_risk,deepseek_only_false_candidate,qgdca_qualified,qgdca_false_admission,qgdca_true_admission
adversarial::CVE-2020-10683::meta::CVE-2018-1309,adversarial_mismatched_positive_metadata,CVE-2020-10683,CVE-2018-1309,XXE (Improper Restriction of XML External Entity Reference),False,mismatched_patch_metadata_provenance,False,True,False,True,1,2.37,,440,184,624,0.000113,True,True,True,apache;content;handler;nifi;org;parse;parser;sax,doctype;entity;external;parse;parser;xml;xxe,True,The SAX parser must have the feature http://apache.org/xml/features/nonvalidating/load-external-dtd set to false to prevent XXE attacks.,static_predicate,low,True,False,False,False
adversarial::CVE-2023-26480::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2023-26480,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,2.0,,593,171,764,0.000131,True,True,False,body;bodywriter;errorpagerenderer;internal;page;print;ratpack;renderer,encode;escape;html;page;print;script;writer;xss,False,The ErrorPageRenderer.BodyWriter.print method must HTML-encode user-controlled data before writing to the response body.,static_predicate,low,False,False,False,False
adversarial::CVE-2025-25193::meta::CVE-2021-29506,adversarial_mismatched_positive_metadata,CVE-2025-25193,CVE-2021-29506,Resource Exhaustion (Denial of Service),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.84,,552,127,679,0.000113,True,True,True,,,False,The BoundedInputStream.read() methods must call checkMaxBytesRead() to enforce the read limit.,static_predicate,low,False,False,False,False
adversarial::CVE-2022-34271::meta::CVE-2018-1002201,adversarial_mismatched_positive_metadata,CVE-2022-34271,CVE-2018-1002201,Path Travelsal,False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.87,,601,175,776,9.8e-05,True,True,True,<init>;file;init;java;java.io.file,base;canonical;directory;file;normalize;path;realpath;startswith,True,The zip entry path must be validated to not contain directory traversal sequences before being used to construct a File object.,static_predicate,low,True,False,False,False
adversarial::CVE-2021-29506::meta::CVE-2023-34462,adversarial_mismatched_positive_metadata,CVE-2021-29506,CVE-2023-34462,Resource Exhaustion (Denial of Service),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.63,,414,125,539,9.3e-05,True,True,False,buffer;byte;bytebuf;context;decode;handler,byte;decode;exhaustion;limit;reject;resource,False,The decode method must validate the length of the input ByteBuf before processing to prevent resource exhaustion.,static_predicate,low,False,False,False,False
base::CVE-2023-6134,base,CVE-2023-6134,CVE-2023-6134,XSS (Cross-Site Scripting),False,base_failed_patch_diff,True,False,False,True,1,2.01,,515,144,659,0.000112,True,False,False,byte;stream;write,byte;encode;escape;html;script;write;xss,False,"When writing bytes to an output stream, the data must be HTML-encoded or escaped to prevent XSS injection.",security_rule,high,False,False,False,False
adversarial::CVE-2021-3856::meta::CVE-2018-1002201,adversarial_mismatched_positive_metadata,CVE-2021-3856,CVE-2018-1002201,Path Travelsal,False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.67,,525,170,695,8.6e-05,True,True,True,<init>;file;init;java;java.io.file,base;canonical;directory;file;normalize;path;realpath;startswith,True,The resource URL path must start with the root resource URL path to prevent directory traversal.,static_predicate,low,True,False,False,False
base::CVE-2018-1190,base,CVE-2018-1190,CVE-2018-1190,XSS (Cross-Site Scripting),True,base_true_patch_diff,True,True,True,True,1,1.74,,558,132,690,0.000115,True,True,True,addattribute;model,escape;html;model,True,All user-controlled strings passed to model.addAttribute must be HTML-escaped before being added to the model.,static_predicate,low,False,True,False,True
base::CVE-2019-3772,base,CVE-2019-3772,CVE-2019-3772,XXE (Improper Restriction of XML External Entity Reference),True,base_true_patch_diff,True,True,True,True,1,1.83,,570,137,707,0.000118,True,False,False,javax;result;source;transform;transformer;xml,doctype;entity;external;result;source;transform;transformer;xml,False,The DocumentBuilderFactory must be configured to disable external entity processing before being used to parse XML.,static_predicate,high,False,False,False,False
base::CVE-2023-0871,base,CVE-2023-0871,CVE-2023-0871,XXE (Improper Restriction of XML External Entity Reference),False,base_failed_patch_diff,True,False,False,True,1,2.1,,450,163,613,0.000109,True,True,False,bind;class;javax;jaxbelement;node;unmarshal;unmarshaller;xml,block;doctype;entity;external;node;reject;unmarshal;xml,False,The unmarshal method must reject XML input containing DOCTYPE declarations with external entities to prevent XXE.,static_predicate,medium,False,False,False,False
base::APACHE-COMMONS-001,base,APACHE-COMMONS-001,APACHE-COMMONS-001,Path Travelsal,True,base_true_patch_diff,True,True,True,True,1,2.49,,595,200,795,0.000139,True,True,True,file;files;open;option;path;stream,allowlist;base;canonical;containment;directory;file;files;normalize,True,The canonical path of the target directory must be suffixed with a file separator character before checking if an entry path starts with it.,static_predicate,low,False,True,False,True
adversarial::CVE-2018-1190::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2018-1190,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.74,,575,167,742,9.2e-05,True,True,True,body;internal;page;print;ratpack;renderer;writer,encode;escape;html;page;print;script;writer;xss,True,The print method must HTML-escape all user-controlled data before writing to the response body.,static_predicate,low,True,False,False,False
adversarial::CVE-2018-1309::meta::CVE-2018-20059,adversarial_mismatched_positive_metadata,CVE-2018-1309,CVE-2018-20059,XXE (Improper Restriction of XML External Entity Reference),False,mismatched_patch_metadata_provenance,False,True,False,True,1,3.16,,551,197,748,0.000132,True,True,True,bind;javax;javax.xml.bind.unmarshaller.unmarshal;javax.xml.stream.xmlstreamreader;stream;unmarshal;unmarshaller;xml,block;doctype;entity;external;xml;xxe,True,"If XMLStreamReader or SAXParserFactory is used without calling createSafeSaxReader or equivalent external entity blocking, then XXE is possible.",static_predicate,low,True,False,False,False
base::CVE-2023-42809,base,CVE-2023-42809,CVE-2023-42809,Deserialization of Untrusted Data,True,base_true_patch_diff,True,True,True,True,1,1.7,,513,126,639,0.000107,True,True,True,readobject,deserialize;untrusted,True,CustomObjectInputStream.resolveClass throws InvalidClassException if class name is not in allowedClasses set,static_predicate,low,False,True,False,True
base::CVE-2023-40828,base,CVE-2023-40828,CVE-2023-40828,Path Travelsal,True,base_true_patch_diff,True,True,True,True,1,2.03,,592,175,767,0.000132,True,True,True,<init>;file;init;java,canonical;directory;file;path;startswith;traversal,True,"Before creating a file entry from a zip archive, the code must call getCanonicalPath() on both the destination directory and the target file, and verify that the file's canonical path starts with the destination's canonical path.",static_predicate,low,False,True,False,True
base::CVE-2018-11788,base,CVE-2018-11788,CVE-2018-11788,XXE (Improper Restriction of XML External Entity Reference),True,base_true_patch_diff,True,True,True,True,1,2.17,,556,154,710,0.000121,True,True,True,document;documentbuilder;dom;inputstream;javax;javax.xml.parsers.documentbuilder.parse;org;org.w3c.dom.document,doctype;entity;external;stream;xml;xxe,True,The XMLInputFactory returned by newFactory() must have external entity processing disabled by default.,static_predicate,medium,False,True,False,True
base::CVE-2024-49760,base,CVE-2024-49760,CVE-2024-49760,Path Travelsal,True,base_true_patch_diff,True,True,True,True,1,2.57,,534,198,732,0.00013,True,True,True,<init>;file;init;java;java.io.file,base;canonical;directory;file;normalize;path;realpath;startswith,True,The path constructed from module.getPath() and strLangFile must be normalized and checked to start with the normalized langs directory path before being used to create a File object.,static_predicate,low,False,True,False,True
adversarial::CVE-2020-11995::meta::CVE-2020-17532,adversarial_mismatched_positive_metadata,CVE-2020-11995,CVE-2020-17532,Deserialization of Untrusted Data,False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.72,,576,144,720,8.6e-05,True,False,False,iterable;load;loadall;snakeyaml;stream;yaml,deserialize;pickle;serialization;untrusted;yaml,False,Yaml.loadAll must not be called with untrusted input without prior safe-mode configuration.,static_predicate,high,False,False,False,False
adversarial::CVE-2018-17193::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2018-17193,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.71,,543,175,718,9e-05,True,True,False,body;bodywriter;errorpagerenderer;internal;page;print;ratpack;renderer,encode;escape;html;page;print;script;writer;xss,False,The ErrorPageRenderer.BodyWriter.print method must HTML-encode user-controlled data before writing to the response body to prevent XSS.,security_rule,low,False,False,False,False
adversarial::CVE-2022-37423::meta::CVE-2018-1002201,adversarial_mismatched_positive_metadata,CVE-2022-37423,CVE-2018-1002201,Path Travelsal,False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.82,,437,169,606,7.3e-05,True,True,True,<init>;file;init;java;java.io.file,canonical;file;path;startswith;traversal,True,The path traversal check must use getCanonicalFile().toPath().startsWith() instead of getCanonicalPath().startsWith() to ensure canonical path comparison is done on normalized path objects.,static_predicate,low,True,False,False,False
adversarial::CVE-2022-1274::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2022-1274,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.56,,547,126,673,7.7e-05,True,True,True,,,False,The token's required actions must be verified before processing.,security_rule,low,False,False,False,False
base::CVE-2020-10683,base,CVE-2020-10683,CVE-2020-10683,XXE (Improper Restriction of XML External Entity Reference),True,base_true_patch_diff,True,True,True,True,1,1.89,,436,191,627,0.000115,True,True,True,document;dom4j;inputsource;org;read;saxreader;source;xml,allow;doctype;document;dom4j;entity;external;read;saxreader,True,"SAXReader.read(InputSource) must disable external DTD loading via setFeature(""http://apache.org/xml/features/nonvalidating/load-external-dtd"", false) before parsing.",static_predicate,low,False,True,False,True
adversarial::CVE-2019-20366::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2019-20366,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.6,,572,138,710,8.4e-05,True,True,True,,xss,False,The warningMessage attribute must be set with cacheName escaped via StringUtils.escapeHTMLTags to prevent XSS.,static_predicate,low,False,False,False,False
base::CVE-2021-29506,base,CVE-2021-29506,CVE-2021-29506,Resource Exhaustion (Denial of Service),True,base_true_patch_diff,True,True,True,True,1,1.78,,408,133,541,5.9e-05,True,True,True,getpointsfromrequest;httpservletrequest;list;request;resource;string,exhaustion;request;resource,True,The function getPointsFromRequest must validate that the request URL starts with an expected prefix before performing substring operations to prevent resource exhaustion.,static_predicate,medium,False,True,False,True
adversarial::CVE-2020-2222::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2020-2222,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.72,,612,142,754,9e-05,True,True,True,,escape;html;xss,False,The tooltip attribute must escape the whyKeepLog value using xmlEscape to prevent XSS.,security_rule,low,False,False,False,False
base::CVE-2019-10770,base,CVE-2019-10770,CVE-2019-10770,XSS (Cross-Site Scripting),True,base_true_patch_diff,True,True,True,True,1,1.58,,586,142,728,8.7e-05,True,True,True,body;bodywriter;errorpagerenderer;print,escape;html;print,True,ErrorPageRenderer.BodyWriter.print must escape HTML in throwable.toString() before writing to the response body.,static_predicate,low,False,True,False,True
adversarial::CVE-2023-51747::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2023-51747,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.85,,617,176,793,0.000101,True,False,False,body;bodywriter;errorpagerenderer;internal;page;print;ratpack;renderer,encode;escape;html;page;print;script;writer;xss,False,The ErrorPageRenderer.BodyWriter.print method must HTML-encode the error message before writing it to the response body to prevent XSS.,static_predicate,high,False,False,False,False
adversarial::CVE-2018-1000407::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2018-1000407,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.98,,577,137,714,8.4e-05,True,True,True,print;writer,print;writer,True,The wrapper parameter is validated against a regex before being printed to the response writer.,security_rule,low,True,False,False,False
adversarial::CVE-2021-33561::meta::CVE-2019-10770,adversarial_mismatched_positive_metadata,CVE-2021-33561,CVE-2019-10770,XSS (Cross-Site Scripting),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.99,,632,173,805,0.000102,True,True,False,body;bodywriter;errorpagerenderer;internal;page;print;ratpack;renderer,encode;escape;html;page;print;script;writer;xss,False,The ErrorPageRenderer BodyWriter must HTML-encode user-controlled data before writing to the response body to prevent XSS.,security_rule,low,False,False,False,False
base::CVE-2023-22832,base,CVE-2023-22832,CVE-2023-22832,XXE (Improper Restriction of XML External Entity Reference),True,base_true_patch_diff,True,True,True,True,1,2.21,,675,163,838,0.00014,True,True,False,apache;document;nifi;parse;parsers;processing;provider;standard,doctype;entity;external;parse;xml;xxe,False,The XML parser used in StandardDocumentProvider.parse disables external entity processing and doctype declarations to prevent XXE attacks.,static_predicate,low,False,False,False,False
base::CVE-2018-1309,base,CVE-2018-1309,CVE-2018-1309,XXE (Improper Restriction of XML External Entity Reference),True,base_true_patch_diff,True,True,True,True,1,2.19,,562,184,746,9.5e-05,True,True,True,apache;content;handler;nifi;parse;parser;processing;sax,doctype;entity;external;parse;parser;xml;xxe,True,The method createSafeSaxReader must configure the SAXParserFactory to disable external entity processing and doctype declarations before returning the XMLReader.,static_predicate,low,False,True,False,True
base::CVE-2025-31129,base,CVE-2025-31129,CVE-2025-31129,Deserialization of Untrusted Data,True,base_true_patch_diff,True,True,True,True,1,1.97,,592,124,716,0.000118,True,False,False,objectinput;readobject,allowlist;deserialize;serialization;untrusted,False,The application must not deserialize untrusted data without an allowlist or validation.,security_rule,high,False,False,False,False
adversarial::CVE-2024-22399::meta::CVE-2020-17532,adversarial_mismatched_positive_metadata,CVE-2024-22399,CVE-2020-17532,Deserialization of Untrusted Data,False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.94,,632,152,784,9.6e-05,True,True,True,iterable;load;loadall;snakeyaml;stream;yaml,deserialization;deserialize;pickle;serialization;untrusted;yaml,True,The deserialization of untrusted YAML input via SnakeYaml's loadAll method must be restricted to safe constructs only.,static_predicate,low,True,False,False,False
base::CVE-2022-34271,base,CVE-2022-34271,CVE-2022-34271,Path Travelsal,True,base_true_patch_diff,True,True,True,True,1,1.92,,634,159,793,0.000133,True,True,True,file;files;java;java.nio.file.files.write;java.nio.file.openoption;java.nio.file.path;nio;openoption,file;files;path;traversal;write,True,The patch adds validation that rejects zip entries with relative parent paths before writing to disk.,static_predicate,low,False,True,False,True
base::CVE-2018-19859,base,CVE-2018-19859,CVE-2018-19859,Path Travelsal,True,base_true_patch_diff,True,True,True,True,1,2.47,,548,185,733,0.000129,True,True,True,<init>;file;init;java;java.io.file,base;canonical;directory;file;normalize;path;realpath;startswith,True,"When allocating a file from a zip entry name, the resolved file path must be normalized and checked to start with the normalized base directory path, otherwise an IllegalArgumentException is thrown.",static_predicate,low,False,True,False,True
base::CVE-2024-22399,base,CVE-2024-22399,CVE-2024-22399,Deserialization of Untrusted Data,True,base_true_patch_diff,True,True,True,True,1,2.31,,635,144,779,0.000129,True,True,True,byte;core;deserialize;seata;serializer,authentication;byte;deserialization;deserialize;pickle;reject;serialization;serializer,True,The deserialize method must validate the input byte array before deserialization to prevent untrusted data deserialization attacks.,security_rule,low,False,True,False,True
base::CVE-2018-12432,base,CVE-2018-12432,CVE-2018-12432,XSS (Cross-Site Scripting),True,base_true_patch_diff,True,True,True,True,1,2.13,,462,166,628,0.000111,True,True,True,string,xss,True,"When writeDirectly is called with a string argument that includes user-controlled message, the argument must be wrapped with htmlEncodeButNotSpace(javascriptEncode(...)) to prevent XSS.",static_predicate,low,False,True,False,True
adversarial::CVE-2023-34040::meta::CVE-2020-17532,adversarial_mismatched_positive_metadata,CVE-2023-34040,CVE-2020-17532,Deserialization of Untrusted Data,False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.48,,603,146,749,9e-05,True,True,False,iterable;load;loadall;snakeyaml;stream;yaml,deserialize;pickle;serialization;untrusted;yaml,False,The Yaml.loadAll method must not be called with untrusted input without using a safe constructor.,static_predicate,low,False,False,False,False
adversarial::CVE-2018-20059::meta::CVE-2018-1309,adversarial_mismatched_positive_metadata,CVE-2018-20059,CVE-2018-1309,XXE (Improper Restriction of XML External Entity Reference),False,mismatched_patch_metadata_provenance,False,True,False,True,1,1.66,,463,162,625,7.5e-05,True,True,False,apache;content;handler;nifi;parse;parser;processing;source,doctype;entity;external;parse;parser;xml;xxe,False,The XML parser must disable external entity processing and doctype declarations to prevent XXE attacks.,security_rule,low,False,False,False,False
base::CVE-2021-21608,base,CVE-2021-21608,CVE-2021-21608,XSS (Cross-Site Scripting),True,base_true_patch_diff,True,True,True,True,1,2.44,,595,181,776,0.000134,True,True,True,execute;gargoylesoftware;html;htmlunit;page;result;script;string,encode;escape;html;page;script;xss,True,"When a title string is used as text content of an <option> element inside a YUI Menu, the title must be HTML-escaped before being set to prevent XSS.",static_predicate,low,False,True,False,True
